"X", "Y", "Z", "TimeStep0 - temperature field", "TimeStep1 - temperature field", "TimeStep2 - temperature field", "TimeStep3 - temperature field", "TimeStep4 - temperature field", "TimeStep5 - temperature field", "TimeStep6 - temperature field", "TimeStep7 - temperature field", "TimeStep8 - temperature field", "TimeStep9 - temperature field", "TimeStep10 - temperature field", "TimeStep11 - temperature field", "TimeStep12 - temperature field", "TimeStep13 - temperature field", "TimeStep14 - temperature field", "TimeStep15 - temperature field", "TimeStep16 - temperature field", "TimeStep17 - temperature field", "TimeStep18 - temperature field", "TimeStep19 - temperature field", "TimeStep20 - temperature field", "TimeStep21 - temperature field", "TimeStep22 - temperature field", "TimeStep23 - temperature field", "TimeStep24 - temperature field", "TimeStep25 - temperature field", "TimeStep26 - temperature field", "TimeStep27 - temperature field", "TimeStep28 - temperature field", "TimeStep29 - temperature field"
0.0, 0.0, 0.0, 299.9999999999994, 299.9999999999994, 299.9999999999994, 299.9999999999994, 299.9999999999994, 299.9999999999994, 299.9999999999994, 299.9999999999994, 299.9999999999994, 299.9999999999994, 299.9999999999994, 299.9999999999994, 299.9999999999994, 299.9999999999994, 299.9999999999994, 299.9999999999994, 299.9999999999994, 299.9999999999994, 299.9999999999994, 299.9999999999994, 299.9999999999994, 299.9999999999994, 299.9999999999994, 299.9999999999994, 299.9999999999994, 299.9999999999994, 299.9999999999994, 299.9999999999994, 299.9999999999994, 299.9999999999994
1.0, 0.0, 0.0, 299.9999999999991, 299.9999999999991, 299.9999999999991, 299.9999999999991, 299.9999999999991, 299.9999999999991, 299.9999999999991, 299.9999999999991, 299.9999999999991, 299.9999999999991, 299.9999999999991, 299.9999999999991, 299.9999999999991, 299.9999999999991, 299.9999999999991, 299.9999999999991, 299.9999999999991, 299.9999999999991, 299.9999999999991, 299.9999999999991, 299.9999999999991, 299.9999999999991, 299.9999999999991, 299.9999999999991, 299.9999999999991, 299.9999999999991, 299.9999999999991, 299.9999999999991, 299.9999999999991, 299.9999999999991
1.0, 1.0, 0.0, 300.0000000000003, 300.0000000000003, 300.0000000000003, 300.0000000000003, 300.0000000000003, 300.0000000000003, 300.0000000000003, 300.0000000000003, 300.0000000000003, 300.0000000000003, 300.0000000000003, 300.0000000000003, 300.0000000000003, 300.0000000000003, 300.0000000000003, 300.0000000000003, 300.0000000000003, 300.0000000000003, 300.0000000000003, 300.0000000000003, 300.0000000000003, 300.0000000000003, 300.0000000000003, 300.0000000000003, 300.0000000000003, 300.0000000000003, 300.0000000000003, 300.0000000000003, 300.0000000000003, 300.0000000000003
0.0, 1.0, 0.0, 299.9999999999999, 299.9999999999999, 299.9999999999999, 299.9999999999999, 299.9999999999999, 299.9999999999999, 299.9999999999999, 299.9999999999999, 299.9999999999999, 299.9999999999999, 299.9999999999999, 299.9999999999999, 299.9999999999999, 299.9999999999999, 299.9999999999999, 299.9999999999999, 299.9999999999999, 299.9999999999999, 299.9999999999999, 299.9999999999999, 299.9999999999999, 299.9999999999999, 299.9999999999999, 299.9999999999999, 299.9999999999999, 299.9999999999999, 299.9999999999999, 299.9999999999999, 299.9999999999999, 299.9999999999999
0.04761904761904757, 0.0, 0.0, 300.00000000000097, 300.00000000000097, 300.0000000000009, 300.0000000000009, 300.0000000000009, 300.0000000000009, 300.0000000000009, 300.0000000000009, 300.0000000000009, 300.0000000000009, 300.0000000000009, 300.0000000000009, 300.0000000000009, 300.0000000000009, 300.0000000000009, 300.0000000000009, 300.0000000000009, 300.0000000000009, 300.0000000000009, 300.0000000000009, 300.0000000000009, 300.0000000000009, 300.0000000000009, 300.0000000000009, 300.0000000000009, 300.0000000000009, 300.0000000000009, 300.0000000000009, 300.0000000000009, 300.0000000000009
0.09523809523809514, 0.0, 0.0, 299.99999999999943, 299.99999999999943, 299.99999999999943, 299.99999999999943, 299.99999999999943, 299.99999999999943, 299.99999999999943, 299.99999999999943, 299.99999999999943, 299.99999999999943, 299.99999999999943, 299.99999999999943, 299.99999999999943, 299.99999999999943, 299.99999999999943, 299.99999999999943, 299.99999999999943, 299.99999999999943, 299.99999999999943, 299.99999999999943, 299.99999999999943, 299.99999999999943, 299.99999999999943, 299.99999999999943, 299.99999999999943, 299.99999999999943, 299.99999999999943, 299.99999999999943, 299.99999999999943, 299.99999999999943
0.1428571428571427, 0.0, 0.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0
0.1904761904761902, 0.0, 0.0, 299.99999999999756, 299.99999999999744, 299.99999999999744, 299.99999999999744, 299.9999999999974, 299.9999999999974, 299.9999999999974, 299.9999999999974, 299.9999999999974, 299.9999999999974, 299.9999999999974, 299.9999999999974, 299.9999999999974, 299.9999999999974, 299.9999999999974, 299.9999999999974, 299.9999999999974, 299.9999999999974, 299.9999999999974, 299.9999999999974, 299.9999999999974, 299.9999999999974, 299.9999999999974, 299.9999999999974, 299.9999999999974, 299.9999999999974, 299.9999999999974, 299.9999999999974, 299.9999999999974, 299.9999999999974
0.2380952380952379, 0.0, 0.0, 299.99999999999875, 299.99999999999847, 299.9999999999982, 299.99999999999807, 299.99999999999807, 299.99999999999807, 299.99999999999807, 299.99999999999807, 299.99999999999807, 299.99999999999807, 299.99999999999807, 299.99999999999807, 299.99999999999807, 299.99999999999807, 299.99999999999807, 299.99999999999807, 299.99999999999807, 299.99999999999807, 299.99999999999807, 299.99999999999807, 299.99999999999807, 299.99999999999807, 299.99999999999807, 299.99999999999807, 299.99999999999807, 299.99999999999807, 299.99999999999807, 299.99999999999807, 299.99999999999807, 299.99999999999807
0.2857142857142856, 0.0, 0.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0
